true_label,pred_label,confidence
Bus,Walk,0.6425751447677612
Bike,Bus,0.483372300863266
Subway,Car & taxi,0.44156837463378906
Bike,Walk,0.8611652255058289
Bus,Walk,0.8654398322105408
Car & taxi,Walk,0.46983373165130615
Walk,Bike,0.9699203372001648
Bus,Bike,0.5852377414703369
Walk,Bike,0.5713009238243103
Bus,Car & taxi,0.8997232913970947
Bus,Car & taxi,0.5402916669845581
Bus,Walk,0.9709614515304565
Walk,Car & taxi,0.571182370185852
Bike,Walk,0.9727766513824463
Subway,Walk,0.42810630798339844
Bike,Car & taxi,0.9903419017791748
Bus,Train,0.46978315711021423
Bus,Car & taxi,0.7424187064170837
Bike,Walk,0.807654619216919
Bike,Walk,0.9710028171539307
Walk,Bike,0.7494504451751709
Car & taxi,Walk,0.6233373880386353
Car & taxi,Subway,0.5720196962356567
Bus,Walk,0.9270877838134766
Bus,Car & taxi,0.7703795433044434
Bus,Walk,0.7811911702156067
Bus,Car & taxi,0.33026862144470215
Bus,Walk,0.42926836013793945
Car & taxi,Walk,0.8001011610031128
Walk,Bike,0.7202810645103455
Bus,Car & taxi,0.5417570471763611
Bike,Walk,0.8977345824241638
Car & taxi,Bus,0.7325114607810974
Bus,Car & taxi,0.6899846196174622
Train,Car & taxi,0.6945521831512451
Bike,Walk,0.48494312167167664
Bike,Walk,0.5313075184822083
Subway,Car & taxi,0.5349018573760986
Bus,Walk,0.8444305062294006
Bike,Car & taxi,0.36550506949424744
Bike,Train,0.3217436671257019
Walk,Car & taxi,0.6684854030609131
Bus,Car & taxi,0.9093703627586365
Walk,Bike,0.6740034222602844
Walk,Bike,0.7091118097305298
Bike,Walk,0.7024934887886047
Bus,Car & taxi,0.7314117550849915
Bike,Walk,0.743089497089386
Bus,Walk,0.6741073727607727
Walk,Subway,0.3124098479747772
Bike,Walk,0.8342195153236389
Car & taxi,Subway,0.41769054532051086
Walk,Subway,0.3024841248989105
Bike,Walk,0.5433167219161987
Train,Subway,0.780805766582489
Bus,Car & taxi,0.7528525590896606
Bus,Car & taxi,0.7399062514305115
Bus,Walk,0.9623703360557556
Car & taxi,Walk,0.3109225332736969
Bus,Car & taxi,0.7618687152862549
Bus,Walk,0.9712836742401123
Bike,Walk,0.7845889925956726
Bike,Walk,0.47580626606941223
Walk,Bike,0.5256857872009277
Car & taxi,Walk,0.6567885279655457
Bike,Walk,0.6254990696907043
Bus,Bike,0.49118518829345703
Bike,Walk,0.8068634271621704
Walk,Bike,0.6291913390159607
Bus,Walk,0.6890689730644226
Bus,Bike,0.5489126443862915
Bus,Walk,0.6490622162818909
Bike,Walk,0.7192875742912292
Bike,Walk,0.4866042733192444
Subway,Train,0.3910270929336548
Walk,Car & taxi,0.3083432614803314
Walk,Car & taxi,0.4856959879398346
Subway,Walk,0.6318005919456482
Bus,Walk,0.8901481032371521
Train,Car & taxi,0.28702041506767273
Bus,Car & taxi,0.3569306433200836
